Sample;PCR_Subspecies;SKA_Subspecies;Species;Sex;Location;Control;visual_genus;visual_species;lat;long;Municipality;Original_name
NEMO20;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Botanic garden;No;Culex;pipiens pipiens;508.778.918;46.912.021;Leuven;NEMO20
NEMO21;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO21
NEMO22;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO22
NEMO23;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO23
NEMO24;Culex torrentium;Culex torrentium;Culex torrentium;female;Arenberg park;No;Culex;torrentium;50.865;4.669;Leuven;NEMO24
NEMO25;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO25
NEMO26;Culex torrentium;Culex torrentium;Culex torrentium;female;Arenberg park;No;Culex;torrentium;50.865;4.669;Leuven;NEMO26
NEMO27;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO27
NEMO28;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO28
NEMO29;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO29
NEMO30;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO30
NEMO31;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO31
NEMO32;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO32
NEMO33;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO33
NEMO34;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO34
NEMO35;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO35
NEMO36;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO36
NEMO37;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO37
NEMO39;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO39
NEMO38;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO38
NEMO40;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Arenberg park;No;Culex;pipiens pipiens;50.865;4.669;Leuven;NEMO40
NEMO41;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO41
NEMO42;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO42
NEMO43;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO43
NEMO44;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO44
NEMO45;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO45
NEMO46;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO46
NEMO47;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens molestus;50.865.688;4.630.034;Bertem;NEMO47
NEMO48;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO48
NEMO49;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO49
NEMO50;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO50
NEMO51;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO51
NEMO52;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO52
NEMO53;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO53
NEMO54;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;Bertem;No;Culex;pipiens pipiens;50.865.688;4.630.034;Bertem;NEMO54
NEMO-NC1;control;control;control;control;control;Yes;;;;;;NEMO-NC1
NEMO-NC2;control;control;control;control;control;Yes;;;;;;NEMO-NC2
NEMO-NC3;control;control;control;control;control;Yes;;;;;;NEMO-NC3
NEMO-NC4;control;control;control;control;control;Yes;;;;;;NEMO-NC4
MEMO009-NC;control;control;control;control;control;Yes;;;;;;MEMO009-NC
MEMO020-NC;control;control;control;control;control;Yes;;;;;;MEMO020-NC
MEMO046-NC;control;control;control;control;control;Yes;;;;;;MEMO046-NC
MEMO076-NC;control;control;control;control;control;Yes;;;;;;MEMO076-NC
MEMO114-NC;control;control;control;control;control;Yes;;;;;;MEMO114-NC
MEMO150-NC;control;control;control;control;control;Yes;;;;;;MEMO150-NC
