Sample;PCR_Subspecies;SKA_Subspecies;Species;Sex;Location;Control;visual_genus;visual_species;lat;long;Municipality;Original_name
MEMO042;Culex torrentium;Culex torrentium;Culex torrentium;female;MM;No;Culex;torrentium;50.995.228;5.621.878;Maasmechelen;M19B0518
MEMO043;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0519
MEMO044;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0381
MEMO045;Culex pipiens undetermined;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens undetermined;51.213.647;4.192.997;Vrasene;M19M0382
MEMO047;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0383
MEMO048;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0384
MEMO049;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0385
MEMO050;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;BA;No;Culex;pipiens molestus;50.412.581;3.923.411;Frameries;M19M0386
MEMO051;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;BA;No;Culex;pipiens molestus;50.412.581;3.923.411;Frameries;M19M0387
MEMO052;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0388
MEMO053;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0389
MEMO054;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0390
MEMO055;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0391
MEMO056;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AB;No;Culex;pipiens molestus;51.251.278;4.217.397;Kallo;M19M0392
MEMO057;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AB;No;Culex;pipiens molestus;51.251.278;4.217.397;Kallo;M19M0393
MEMO058;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0394
MEMO059;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AT;No;Culex;pipiens pipiens;51.213.647;4.192.997;Vrasene;M19M0395
MEMO060;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0396
MEMO061;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0397
MEMO062;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0398
MEMO063;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0399
MEMO064;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0400
MEMO065;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0401
MEMO066;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0402
MEMO067;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0403
MEMO068;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0404
MEMO069;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0405
MEMO070;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0406
MEMO071;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0407
MEMO072;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0408
MEMO073;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0409
MEMO074;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0410
MEMO075;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0411
MEMO077;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0412
MEMO078;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AT;No;Culex;pipiens pipiens;51.213.647;4.192.997;Vrasene;M19M0413
MEMO079;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;male;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0414
MEMO080;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;AT;No;Culex;pipiens pipiens;51.213.647;4.192.997;Vrasene;M19M0415
MEMO081;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.556;6.073.283;Eupen;M19G0077
MEMO082;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0078
MEMO083;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0416
MEMO084;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0417
MEMO085;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0418
MEMO086;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0419
MEMO087;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0420
MEMO088;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0421
MEMO089;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0422
MEMO090;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0423
MEMO091;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0424
MEMO092;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0425
MEMO093;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0426
MEMO094;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0427
MEMO095;Culex pipiens potential hybrid;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens undetermined;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0428
MEMO096;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0429
MEMO097;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MB;No;Culex;pipiens pipiens;51.016.939;5.695.658;Dilsen-Stokkem;M19M0430
MEMO098;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;MB;No;Culex;pipiens molestus;51.016.939;5.695.658;Dilsen-Stokkem;M19M0431
MEMO099;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;MB;No;Culex;pipiens molestus;51.016.939;5.695.658;Dilsen-Stokkem;M19M0432
MEMO100;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;MB;No;Culex;pipiens molestus;51.016.939;5.695.658;Dilsen-Stokkem;M19M0433
MEMO101;Culex pipiens undetermined;Culex pipiens molestus;Culex pipiens;female;MB;No;Culex;pipiens undetermined;51.016.939;5.695.658;Dilsen-Stokkem;M19M0434
MEMO102;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19M0435
MEMO103;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0436
MEMO104;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0437
MEMO105;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0438
MEMO106;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0439
MEMO107;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.586;6.072.753;Eupen;M19M0440
MEMO108;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0441
MEMO109;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.492;6.073.183;Eupen;M19M0442
MEMO110;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;EU;No;Culex;pipiens molestus;50.632.492;6.073.183;Eupen;M19M0443
MEMO111;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19M0444
MEMO112;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19M0445
MEMO113;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19M0446
MEMO115;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19B0520
MEMO116;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19B0521
MEMO117;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19B0522
MEMO118;Aedes japonicus;Aedes japonicus;Aedes japonicus;female;HA;No;Aedes;japonicus;50.338.842;5.044.572;Natoye;M19B0523
MEMO119;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0524
MEMO120;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0525
MEMO121;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0526
MEMO122;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0527
MEMO123;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0528
MEMO124;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0529
MEMO125;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0530
MEMO126;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0531
MEMO127;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0532
MEMO128;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0469
MEMO129;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0470
MEMO130;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;EU;No;Culex;pipiens pipiens;50.632.586;6.072.753;Eupen;M19M0471
MEMO131;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.492;6.073.183;Eupen;M19M0472
MEMO132;Culex torrentium;Culex torrentium;Culex torrentium;male;VP;No;Culex;torrentium;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0473
MEMO133;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0474
MEMO134;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0475
MEMO135;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0476
MEMO136;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0477
MEMO137;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0478
MEMO138;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0479
MEMO139;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0480
MEMO140;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;VP;No;Culex;pipiens molestus;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0481
MEMO141;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AB;No;Culex;pipiens pipiens;51.250.656;4.216.222;Kallo;M19B0533
MEMO142;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;VP;No;Culex;pipiens pipiens;50.585.083;5.259.636;Villers-Le-Bouillet;M19M0447
