file	sample	format	type	num_seqs	sum_len	min_len	avg_len	max_len
NEMO36/READ/TRIMMED/NEMO36.Hostout.unpaired.fastq.gz	NEMO36	FASTQ	DNA	316584	30249263	50	95.5	130
NEMO37/READ/TRIMMED/NEMO37.Hostout.R1.fastq.gz	NEMO37	FASTQ	DNA	361485	39992310	50	110.6	130
NEMO37/READ/TRIMMED/NEMO37.Hostout.R2.fastq.gz	NEMO37	FASTQ	DNA	361485	39930624	50	110.5	130
NEMO37/READ/TRIMMED/NEMO37.Hostout.unpaired.fastq.gz	NEMO37	FASTQ	DNA	98501	9710998	50	98.6	130
NEMO38/READ/TRIMMED/NEMO38.Hostout.R1.fastq.gz	NEMO38	FASTQ	DNA	182589	19564297	50	107.1	130
NEMO38/READ/TRIMMED/NEMO38.Hostout.R2.fastq.gz	NEMO38	FASTQ	DNA	182589	19530000	50	107.0	130
NEMO38/READ/TRIMMED/NEMO38.Hostout.unpaired.fastq.gz	NEMO38	FASTQ	DNA	53886	5214361	50	96.8	130
NEMO40/READ/TRIMMED/NEMO40.Hostout.R1.fastq.gz	NEMO40	FASTQ	DNA	404605	44118668	50	109.0	130
NEMO40/READ/TRIMMED/NEMO40.Hostout.R2.fastq.gz	NEMO40	FASTQ	DNA	404605	44046033	50	108.9	130
NEMO40/READ/TRIMMED/NEMO40.Hostout.unpaired.fastq.gz	NEMO40	FASTQ	DNA	141557	13167557	50	93.0	130
NEMO41/READ/TRIMMED/NEMO41.Hostout.R1.fastq.gz	NEMO41	FASTQ	DNA	243635	25572955	50	105.0	130
NEMO41/READ/TRIMMED/NEMO41.Hostout.R2.fastq.gz	NEMO41	FASTQ	DNA	243635	25514423	50	104.7	130
NEMO41/READ/TRIMMED/NEMO41.Hostout.unpaired.fastq.gz	NEMO41	FASTQ	DNA	76166	7413439	50	97.3	130
NEMO42/READ/TRIMMED/NEMO42.Hostout.R1.fastq.gz	NEMO42	FASTQ	DNA	446159	45130920	50	101.2	130
NEMO42/READ/TRIMMED/NEMO42.Hostout.R2.fastq.gz	NEMO42	FASTQ	DNA	446159	45040659	50	101.0	130
