file	sample	format	type	num_seqs	sum_len	min_len	avg_len	max_len
MEMO099/READ/MEMO099.R2.fastq.gz	MEMO099	FASTQ	DNA	2503845	262831384	35	105.0	151
MEMO100/READ/MEMO100.R1.fastq.gz	MEMO100	FASTQ	DNA	3044329	324751391	35	106.7	151
MEMO100/READ/MEMO100.R2.fastq.gz	MEMO100	FASTQ	DNA	3044329	324886832	35	106.7	151
MEMO101/READ/MEMO101.R1.fastq.gz	MEMO101	FASTQ	DNA	2053796	227883326	35	111.0	151
MEMO101/READ/MEMO101.R2.fastq.gz	MEMO101	FASTQ	DNA	2053796	228034376	35	111.0	151
MEMO102/READ/MEMO102.R1.fastq.gz	MEMO102	FASTQ	DNA	1711831	206645464	35	120.7	151
MEMO102/READ/MEMO102.R2.fastq.gz	MEMO102	FASTQ	DNA	1711831	206537487	35	120.7	151
MEMO103/READ/MEMO103.R1.fastq.gz	MEMO103	FASTQ	DNA	2106597	229028106	35	108.7	151
MEMO103/READ/MEMO103.R2.fastq.gz	MEMO103	FASTQ	DNA	2106597	229126256	35	108.8	151
MEMO104/READ/MEMO104.R1.fastq.gz	MEMO104	FASTQ	DNA	2808559	303077702	35	107.9	151
MEMO104/READ/MEMO104.R2.fastq.gz	MEMO104	FASTQ	DNA	2808559	303223500	35	108.0	151
MEMO105/READ/MEMO105.R1.fastq.gz	MEMO105	FASTQ	DNA	2549307	290070965	35	113.8	151
MEMO105/READ/MEMO105.R2.fastq.gz	MEMO105	FASTQ	DNA	2549307	290170431	35	113.8	151
MEMO106/READ/MEMO106.R1.fastq.gz	MEMO106	FASTQ	DNA	2155363	236666499	35	109.8	151
MEMO106/READ/MEMO106.R2.fastq.gz	MEMO106	FASTQ	DNA	2155363	236831742	35	109.9	151
MEMO107/READ/MEMO107.R1.fastq.gz	MEMO107	FASTQ	DNA	2473298	263981564	35	106.7	151
MEMO107/READ/MEMO107.R2.fastq.gz	MEMO107	FASTQ	DNA	2473298	264157175	35	106.8	151
MEMO108/READ/MEMO108.R1.fastq.gz	MEMO108	FASTQ	DNA	3595573	454936812	35	126.5	151
MEMO108/READ/MEMO108.R2.fastq.gz	MEMO108	FASTQ	DNA	3595573	454880091	35	126.5	151
MEMO109/READ/MEMO109.R1.fastq.gz	MEMO109	FASTQ	DNA	3047828	334363874	35	109.7	151
MEMO109/READ/MEMO109.R2.fastq.gz	MEMO109	FASTQ	DNA	3047828	334704851	35	109.8	151
MEMO110/READ/MEMO110.R1.fastq.gz	MEMO110	FASTQ	DNA	3100781	329629909	35	106.3	151
MEMO110/READ/MEMO110.R2.fastq.gz	MEMO110	FASTQ	DNA	3100781	329992966	35	106.4	151
MEMO111/READ/MEMO111.R1.fastq.gz	MEMO111	FASTQ	DNA	3049048	362162772	35	118.8	151
MEMO111/READ/MEMO111.R2.fastq.gz	MEMO111	FASTQ	DNA	3049048	362303652	35	118.8	151
MEMO112/READ/MEMO112.R1.fastq.gz	MEMO112	FASTQ	DNA	3561540	435509768	35	122.3	151
MEMO112/READ/MEMO112.R2.fastq.gz	MEMO112	FASTQ	DNA	3561540	435509454	35	122.3	151
MEMO113/READ/MEMO113.R1.fastq.gz	MEMO113	FASTQ	DNA	3282842	358658921	35	109.3	151
MEMO113/READ/MEMO113.R2.fastq.gz	MEMO113	FASTQ	DNA	3282842	358930338	35	109.3	151
MEMO115/READ/MEMO115.R1.fastq.gz	MEMO115	FASTQ	DNA	3015885	371442874	35	123.2	151
MEMO115/READ/MEMO115.R2.fastq.gz	MEMO115	FASTQ	DNA	3015885	371422919	35	123.2	151
MEMO116/READ/MEMO116.R1.fastq.gz	MEMO116	FASTQ	DNA	3454793	415142104	35	120.2	151
MEMO116/READ/MEMO116.R2.fastq.gz	MEMO116	FASTQ	DNA	3454793	415075437	35	120.1	151
MEMO117/READ/MEMO117.R1.fastq.gz	MEMO117	FASTQ	DNA	2750748	292002377	35	106.2	151
MEMO117/READ/MEMO117.R2.fastq.gz	MEMO117	FASTQ	DNA	2750748	292127213	35	106.2	151
MEMO118/READ/MEMO118.R1.fastq.gz	MEMO118	FASTQ	DNA	2416461	313214071	35	129.6	151
MEMO118/READ/MEMO118.R2.fastq.gz	MEMO118	FASTQ	DNA	2416461	313112788	35	129.6	151
MEMO119/READ/MEMO119.R1.fastq.gz	MEMO119	FASTQ	DNA	2142942	270866952	35	126.4	151
MEMO119/READ/MEMO119.R2.fastq.gz	MEMO119	FASTQ	DNA	2142942	270737822	35	126.3	151
MEMO120/READ/MEMO120.R1.fastq.gz	MEMO120	FASTQ	DNA	2534786	303881694	35	119.9	151
MEMO120/READ/MEMO120.R2.fastq.gz	MEMO120	FASTQ	DNA	2534786	303983202	35	119.9	151
MEMO121/READ/MEMO121.R1.fastq.gz	MEMO121	FASTQ	DNA	3570468	422365439	35	118.3	151
MEMO121/READ/MEMO121.R2.fastq.gz	MEMO121	FASTQ	DNA	3570468	422392963	35	118.3	151
MEMO122/READ/MEMO122.R1.fastq.gz	MEMO122	FASTQ	DNA	2837326	334151526	35	117.8	151
MEMO122/READ/MEMO122.R2.fastq.gz	MEMO122	FASTQ	DNA	2837326	334410800	35	117.9	151
MEMO123/READ/MEMO123.R1.fastq.gz	MEMO123	FASTQ	DNA	2873221	352021396	35	122.5	151
MEMO123/READ/MEMO123.R2.fastq.gz	MEMO123	FASTQ	DNA	2873221	352067937	35	122.5	151
MEMO124/READ/MEMO124.R1.fastq.gz	MEMO124	FASTQ	DNA	2078868	241956376	35	116.4	151
MEMO124/READ/MEMO124.R2.fastq.gz	MEMO124	FASTQ	DNA	2078868	242108801	35	116.5	151
MEMO125/READ/MEMO125.R1.fastq.gz	MEMO125	FASTQ	DNA	2634591	316694546	35	120.2	151
MEMO125/READ/MEMO125.R2.fastq.gz	MEMO125	FASTQ	DNA	2634591	316687032	35	120.2	151
MEMO126/READ/MEMO126.R1.fastq.gz	MEMO126	FASTQ	DNA	2620663	296190459	35	113.0	151
MEMO126/READ/MEMO126.R2.fastq.gz	MEMO126	FASTQ	DNA	2620663	296192361	35	113.0	151
MEMO127/READ/MEMO127.R1.fastq.gz	MEMO127	FASTQ	DNA	3414274	396456842	35	116.1	151
MEMO127/READ/MEMO127.R2.fastq.gz	MEMO127	FASTQ	DNA	3414274	396554764	35	116.1	151
MEMO128/READ/MEMO128.R1.fastq.gz	MEMO128	FASTQ	DNA	2572336	300138512	35	116.7	151
MEMO128/READ/MEMO128.R2.fastq.gz	MEMO128	FASTQ	DNA	2572336	300147631	35	116.7	151
MEMO129/READ/MEMO129.R1.fastq.gz	MEMO129	FASTQ	DNA	3017793	386514315	35	128.1	151
MEMO129/READ/MEMO129.R2.fastq.gz	MEMO129	FASTQ	DNA	3017793	386444557	35	128.1	151
MEMO130/READ/MEMO130.R1.fastq.gz	MEMO130	FASTQ	DNA	3064633	358018104	35	116.8	151
MEMO130/READ/MEMO130.R2.fastq.gz	MEMO130	FASTQ	DNA	3064633	358083638	35	116.8	151
MEMO131/READ/MEMO131.R1.fastq.gz	MEMO131	FASTQ	DNA	3043679	379021846	35	124.5	151
MEMO131/READ/MEMO131.R2.fastq.gz	MEMO131	FASTQ	DNA	3043679	378882315	35	124.5	151
MEMO132/READ/MEMO132.R1.fastq.gz	MEMO132	FASTQ	DNA	2956471	345562825	35	116.9	151
MEMO132/READ/MEMO132.R2.fastq.gz	MEMO132	FASTQ	DNA	2956471	345525784	35	116.9	151
MEMO133/READ/MEMO133.R1.fastq.gz	MEMO133	FASTQ	DNA	4005038	465362396	35	116.2	151
MEMO133/READ/MEMO133.R2.fastq.gz	MEMO133	FASTQ	DNA	4005038	465434333	35	116.2	151
MEMO134/READ/MEMO134.R1.fastq.gz	MEMO134	FASTQ	DNA	2864798	319332002	35	111.5	151
MEMO134/READ/MEMO134.R2.fastq.gz	MEMO134	FASTQ	DNA	2864798	319420223	35	111.5	151
MEMO135/READ/MEMO135.R1.fastq.gz	MEMO135	FASTQ	DNA	2471549	263283695	35	106.5	151
MEMO135/READ/MEMO135.R2.fastq.gz	MEMO135	FASTQ	DNA	2471549	263380473	35	106.6	151
MEMO136/READ/MEMO136.R1.fastq.gz	MEMO136	FASTQ	DNA	2181943	268774271	35	123.2	151
MEMO136/READ/MEMO136.R2.fastq.gz	MEMO136	FASTQ	DNA	2181943	268766829	35	123.2	151
MEMO137/READ/MEMO137.R1.fastq.gz	MEMO137	FASTQ	DNA	2305005	263401248	35	114.3	151
MEMO137/READ/MEMO137.R2.fastq.gz	MEMO137	FASTQ	DNA	2305005	263515096	35	114.3	151
MEMO138/READ/MEMO138.R1.fastq.gz	MEMO138	FASTQ	DNA	3536001	402699751	35	113.9	151
MEMO138/READ/MEMO138.R2.fastq.gz	MEMO138	FASTQ	DNA	3536001	402845888	35	113.9	151
MEMO139/READ/MEMO139.R1.fastq.gz	MEMO139	FASTQ	DNA	2843350	343781386	35	120.9	151
MEMO139/READ/MEMO139.R2.fastq.gz	MEMO139	FASTQ	DNA	2843350	343732707	35	120.9	151
MEMO140/READ/MEMO140.R1.fastq.gz	MEMO140	FASTQ	DNA	2702694	300618307	35	111.2	151
