Kingdom	Phylum	Class	Order	Family	Genus	Species				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified	Valmbacken virus			Parvoviridae sp.	2
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified	Valmbacken virus			Culex negev-like virus 1	1
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified	Valmbacken virus			Culex rhabdovirus	2
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified	Valmbacken virus			Mosquito associated circovirus 1	1
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified	Valmbacken virus			unclassified	1
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Xanthi chryso-like virus			SI bee virus 1	2
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4			Wuhan insect virus 26	2
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4			Uromyces totivirus D	2
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4			Negev-like virus 174	1
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4				
Viruses	unclassified	unclassified	unclassified	Tymoviridae	unclassified	Hubei mosquito virus 4				
Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	unclassified	Arthrocladiella mougeotii alphaendornavirus				
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4				
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4				
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4				
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6				
Viruses	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	unclassified	Daeseongdong virus 2				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 15				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 15				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 15				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 15				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 15				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	unclassified	Narangue virus				
Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	unclassified	Aedes japonicus narnavirus 1				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Aedes orthophasmavirus sp.				
Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	unclassified	Narangue virus				
Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus				
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Anphevirus	Aedes aegypti anphevirus				
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Anphevirus	Aedes aegypti anphevirus				
Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus				
Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus				
Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus				
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Anphevirus	Aedes aegypti anphevirus				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Culex vishnui subgroup totivirus				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Culex vishnui subgroup totivirus				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei orthoptera virus 4				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei orthoptera virus 4				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Keenan toti-like virus				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Keenan toti-like virus				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei virga-like virus 23				
